Title,Genre,Author,Link,Image,Rating
Wellness,Art,Unknown Author,https://www.goodreads.com/book/show/65650229-wellness,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695742140l/65650229._SY475_.jpg,4.00
Anita de Monte Laughs Last,Art,Unknown Author,https://www.goodreads.com/book/show/127306192-anita-de-monte-laughs-last,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1694192238l/127306192._SY475_.jpg,3.81
Invisible,Art,Unknown Author,https://www.goodreads.com/book/show/37804539-invisible,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514989256l/37804539.jpg,4.34
The Glassmaker,Art,Unknown Author,https://www.goodreads.com/book/show/202167720-the-glassmaker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702046796l/202167720._SY475_.jpg,4.01
Cat Kid Comic Club,Art,Unknown Author,https://www.goodreads.com/book/show/52891759-cat-kid-comic-club,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592278322l/52891759.jpg,4.03
Violet Bent Backwards Over the Grass,Art,Unknown Author,https://www.goodreads.com/book/show/43554866-violet-bent-backwards-over-the-grass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586615121l/43554866._SX318_.jpg,3.98
Lovers at the Museum,Art,Unknown Author,https://www.goodreads.com/book/show/204820050-lovers-at-the-museum,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1708644051l/204820050.jpg,3.48
Death at the Sign of the Rook,Art,Unknown Author,https://www.goodreads.com/book/show/203164357-death-at-the-sign-of-the-rook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703315303l/203164357.jpg,4.07
The Harry Potter Wizarding Almanac: The official magical companion to J.K. Rowling's Harry Potter books,Art,Unknown Author,https://www.goodreads.com/book/show/123166296-the-harry-potter-wizarding-almanac,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680320055l/123166296._SX318_.jpg,4.30
When the Rain Ends,Art,Unknown Author,https://www.goodreads.com/book/show/61246288-when-the-rain-ends,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660971944l/61246288._SY475_.jpg,4.13
Consent: A Memoir,Art,Unknown Author,https://www.goodreads.com/book/show/200798634-consent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704256984l/200798634._SX318_.jpg,3.98
Ways of Seeing,Art,Unknown Author,https://www.goodreads.com/book/show/2784.Ways_of_Seeing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703328414l/2784._SY475_.jpg,3.92
The Story of Art,Art,Unknown Author,https://www.goodreads.com/book/show/222078.The_Story_of_Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389274650l/222078.jpg,3.96
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Art,Unknown Author,https://www.goodreads.com/book/show/13099738-steal-like-an-artist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404576602l/13099738.jpg,3.96
The New Drawing on the Right Side of the Brain,Art,Unknown Author,https://www.goodreads.com/book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348133732l/627206.jpg,3.87
The Artist's Way: A Spiritual Path to Higher Creativity,Art,Unknown Author,https://www.goodreads.com/book/show/615570.The_Artist_s_Way,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440952332l/615570._SX318_.jpg,3.95
Art and Fear,Art,Unknown Author,https://www.goodreads.com/book/show/187633.Art_and_Fear,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442712080l/187633._SY475_.jpg,3.78
Wall and Piece,Art,Unknown Author,https://www.goodreads.com/book/show/114683.Wall_and_Piece,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327904853l/114683.jpg,3.86
The Art Book,Art,Unknown Author,https://www.goodreads.com/book/show/567616.The_Art_Book,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411210646l/567616.jpg,3.86
Girl with a Pearl Earring,Art,Unknown Author,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327197580l/2865.jpg,3.93
The Letters of Vincent van Gogh,Art,Unknown Author,https://www.goodreads.com/book/show/395233.The_Letters_of_Vincent_van_Gogh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657544597l/395233._SY475_.jpg,4.09
Concerning the Spiritual in Art,Art,Unknown Author,https://www.goodreads.com/book/show/857502.Concerning_the_Spiritual_in_Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405982387l/857502.jpg,3.84
Seven Days in the Art World,Art,Unknown Author,https://www.goodreads.com/book/show/6988014-seven-days-in-the-art-world,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358748500l/6988014.jpg,3.62
The Goldfinch,Art,Unknown Author,https://www.goodreads.com/book/show/17333223-the-goldfinch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146l/17333223.jpg,3.95
On Photography,Art,Unknown Author,https://www.goodreads.com/book/show/52372.On_Photography,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1671548651l/52372._SY475_.jpg,3.89
Color and Light: A Guide for the Realist Painter (Volume 2) (James Gurney Art),Art,Unknown Author,https://www.goodreads.com/book/show/8384010-color-and-light,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395425135l/8384010.jpg,4.22
Ask Not: The Kennedys and the Women They Destroyed,Biography,Andrew Larsen,https://www.goodreads.com/book/show/201626940-ask-not,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703798479l/201626940._SY475_.jpg,4.26
Women in the Valley of the Kings: The Untold Story of Women Egyptologists in the Gilded Age,Biography,Andrew Larsen,https://www.goodreads.com/book/show/195791072-women-in-the-valley-of-the-kings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701710361l/195791072._SY475_.jpg,3.69
The Widow's Guide to Dead Bastards,Biography,Andrew Larsen,https://www.goodreads.com/book/show/199798901-the-widow-s-guide-to-dead-bastards,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704258388l/199798901._SY475_.jpg,3.67
"Carrie Carolyn Coco: My Friend, Her Murder, and an Obsession with the Unthinkable",Biography,Andrew Larsen,https://www.goodreads.com/book/show/196841887-carrie-carolyn-coco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706464982l/196841887._SY475_.jpg,3.46
The Talented Mrs. Mandelbaum: The Rise and Fall of an American Organized-Crime Boss,Biography,Andrew Larsen,https://www.goodreads.com/book/show/200634629-the-talented-mrs-mandelbaum,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1707922542l/200634629._SY475_.jpg,3.51
The Color of Everything: A Journey to Quiet the Chaos Within,Biography,Andrew Larsen,https://www.goodreads.com/book/show/199373502-the-color-of-everything,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1705382948l/199373502._SY475_.jpg,4.21
The Genius of Judy: How Judy Blume Rewrote Childhood for All of Us,Biography,Andrew Larsen,https://www.goodreads.com/book/show/199797799-the-genius-of-judy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704254771l/199797799._SY475_.jpg,3.94
Docile: Memoirs of a Not-So-Perfect Asian Girl,Biography,Andrew Larsen,https://www.goodreads.com/book/show/199897827-docile,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698336116l/199897827.jpg,4.14
"Tiger, Tiger: The Prince Harry of Sports",Biography,Andrew Larsen,https://www.goodreads.com/book/show/173404111-tiger-tiger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717081181l/173404111._SY475_.jpg,4.07
The Lucky Ones,Biography,Andrew Larsen,https://www.goodreads.com/book/show/199927687-the-lucky-ones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703801746l/199927687._SY475_.jpg,4.38
America's Cold Warrior: Paul Nitze and National Security from Roosevelt to Reagan,Biography,Andrew Larsen,https://www.goodreads.com/book/show/197765204-america-s-cold-warrior,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1710516225l/197765204._SY475_.jpg,4.07
Private Revolutions: Four Women Face China's New Social Order,Biography,Andrew Larsen,https://www.goodreads.com/book/show/200158232-private-revolutions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711403676l/200158232._SY475_.jpg,4.10
Loving Sylvia Plath: A Reclamation,Biography,Andrew Larsen,https://www.goodreads.com/book/show/123979787-loving-sylvia-plath,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680049859l/123979787._SY475_.jpg,4.34
Feh: A Memoir,Biography,Andrew Larsen,https://www.goodreads.com/book/show/200555221-feh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704248337l/200555221._SY475_.jpg,4.13
Just Add Water: My Swimming Life,Biography,Andrew Larsen,https://www.goodreads.com/book/show/203931794-just-add-water,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1715185818l/203931794._SY475_.jpg,4.25
Counting the Cost,Biography,Unknown Author,https://www.goodreads.com/book/show/167770288-counting-the-cost,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685444305l/167770288._SY475_.jpg,4.06
A Promised Land,Biography,Unknown Author,https://www.goodreads.com/book/show/55361205-a-promised-land,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600357110l/55361205._SY475_.jpg,4.33
Finding Me,Biography,Unknown Author,https://www.goodreads.com/book/show/58687126-finding-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650842995l/58687126.jpg,4.55
The Happiest Man on Earth,Biography,Unknown Author,https://www.goodreads.com/book/show/53239311-the-happiest-man-on-earth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595373758l/53239311._SY475_.jpg,4.62
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Biography,Unknown Author,https://www.goodreads.com/book/show/44525305-the-ride-of-a-lifetime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556036622l/44525305.jpg,4.41
Jävla karlar,Biography,Unknown Author,https://www.goodreads.com/book/show/195857823-j-vla-karlar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691420168l/195857823._SY475_.jpg,4.07
Bad Mormon: A Memoir,Biography,Unknown Author,https://www.goodreads.com/book/show/59345245-bad-mormon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675909158l/59345245._SY475_.jpg,3.50
Going Infinite: The Rise and Fall of a New Tycoon,Biography,Unknown Author,https://www.goodreads.com/book/show/149105520-going-infinite,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684247487l/149105520.jpg,3.80
Vanderbilt: The Rise and Fall of an American Dynasty,Biography,Unknown Author,https://www.goodreads.com/book/show/56382342-vanderbilt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627322192l/56382342.jpg,3.82
Becoming Madam Secretary,Biography,Unknown Author,https://www.goodreads.com/book/show/177192295-becoming-madam-secretary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1690375832l/177192295._SY475_.jpg,4.46
There Is No Ethan: How Three Women Caught America's Biggest Catfish,Biography,Unknown Author,https://www.goodreads.com/book/show/201294595-there-is-no-ethan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698888042l/201294595._SX318_.jpg,3.66
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Biography,Unknown Author,https://www.goodreads.com/book/show/54114950-too-much-and-never-enough,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592290619l/54114950._SY475_.jpg,3.82
A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy,Biography,Unknown Author,https://www.goodreads.com/book/show/77920745-a-day-in-the-life-of-abed-salama,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1715719702l/77920745._SY475_.jpg,4.34
Inside Out,Biography,Unknown Author,https://www.goodreads.com/book/show/45167624-inside-out,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558586807l/45167624.jpg,3.91
Challenger: A True Story of Heroism and Disaster on the Edge of Space,Biography,Unknown Author,https://www.goodreads.com/book/show/199798785-challenger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702238441l/199798785._SY475_.jpg,4.60
Steve Jobs,Biography,Unknown Author,https://www.goodreads.com/book/show/11084145-steve-jobs,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482l/11084145._SY475_.jpg,4.16
The Diary of a Young Girl,Biography,Unknown Author,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855.jpg,4.19
Becoming,Biography,Unknown Author,https://www.goodreads.com/book/show/38746485-becoming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996l/38746485.jpg,4.45
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Biography,Unknown Author,https://www.goodreads.com/book/show/25541028-elon-musk,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518291452l/25541028.jpg,4.16
Educated,Biography,Unknown Author,https://www.goodreads.com/book/show/35133922-educated,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635l/35133922._SY475_.jpg,4.47
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Biography,Unknown Author,https://www.goodreads.com/book/show/8664353-unbroken,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327861115l/8664353.jpg,4.38
Einstein: His Life and Universe,Biography,Unknown Author,https://www.goodreads.com/book/show/10884.Einstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884.jpg,4.16
John Adams,Biography,Unknown Author,https://www.goodreads.com/book/show/2203.John_Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478144278l/2203._SY475_.jpg,4.08
Alexander Hamilton,Biography,Unknown Author,https://www.goodreads.com/book/show/16130.Alexander_Hamilton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436131915l/16130._SY475_.jpg,4.22
Born a Crime: Stories From a South African Childhood,Biography,Unknown Author,https://www.goodreads.com/book/show/29780253-born-a-crime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867911l/29780253.jpg,4.49
The Immortal Life of Henrietta Lacks,Biography,Unknown Author,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144l/6493208._SY475_.jpg,4.12
Leonardo da Vinci,Biography,Unknown Author,https://www.goodreads.com/book/show/34684622-leonardo-da-vinci,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523543570l/34684622._SY475_.jpg,4.20
The Autobiography of Malcolm X,Biography,Unknown Author,https://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434682864l/92057.jpg,4.36
Into the Wild,Biography,Unknown Author,https://www.goodreads.com/book/show/60869516-into-the-wild,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650755924l/60869516._SY475_.jpg,4.01
Bossypants,Biography,Unknown Author,https://www.goodreads.com/book/show/9418327-bossypants,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481509554l/9418327.jpg,3.96
Mastering AI: A Survival Guide to Our Superpowered Future,Business,Tony Blair,https://www.goodreads.com/book/show/199798154-mastering-ai,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717461406l/199798154._SY475_.jpg,3.98
"Frostbite: How Refrigeration Changed Our Food, Our Planet, and Ourselves",Business,Tony Blair,https://www.goodreads.com/book/show/199514774-frostbite,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697110274l/199514774._SY475_.jpg,4.23
We Are Not Able to Live in the Sky: The Seductive Promise of Microfinance,Business,Tony Blair,https://www.goodreads.com/book/show/198902271-we-are-not-able-to-live-in-the-sky,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701898556l/198902271._SY475_.jpg,4.14
Think Again: The Power of Knowing What You Don't Know,Business,Tony Blair,https://www.goodreads.com/book/show/55539565-think-again,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602574232l/55539565.jpg,4.15
Talking to Strangers: What We Should Know About the People We Don't Know,Business,Tony Blair,https://www.goodreads.com/book/show/43848929-talking-to-strangers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549393502l/43848929._SX318_.jpg,4.00
Invisible Women: Data Bias in a World Designed for Men,Business,Tony Blair,https://www.goodreads.com/book/show/41104077-invisible-women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617113740l/41104077.jpg,4.35
Four Thousand Weeks,Business,Tony Blair,https://www.goodreads.com/book/show/54785515-four-thousand-weeks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627425434l/54785515._SY475_.jpg,4.22
The Creative Act: A Way of Being,Business,Tony Blair,https://www.goodreads.com/book/show/60965426-the-creative-act,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663707011l/60965426.jpg,4.04
Supercommunicators: How to Unlock the Secret Language of Connection,Business,Tony Blair,https://www.goodreads.com/book/show/157981748-supercommunicators,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702893819l/157981748._SY475_.jpg,4.05
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,Business,Tony Blair,https://www.goodreads.com/book/show/112974860-how-to-know-a-person,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684815605l/112974860.jpg,4.14
Hidden Potential: The Science of Achieving Greater Things,Business,Tony Blair,https://www.goodreads.com/book/show/157095669-hidden-potential,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689111352l/157095669._SY475_.jpg,4.12
Very Bad Company,Business,Tony Blair,https://www.goodreads.com/book/show/195790649-very-bad-company,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703802748l/195790649.jpg,3.30
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Business,Tony Blair,https://www.goodreads.com/book/show/54898389-the-almanack-of-naval-ravikant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598011736l/54898389._SY475_.jpg,4.44
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Business,Tony Blair,https://www.goodreads.com/book/show/44525305-the-ride-of-a-lifetime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556036622l/44525305.jpg,4.41
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Business,Tony Blair,https://www.goodreads.com/book/show/197773418-slow-productivity,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692883158l/197773418._SY475_.jpg,3.73
Be Useful: Seven Tools for Life,Business,Tony Blair,https://www.goodreads.com/book/show/125063314-be-useful,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685351182l/125063314.jpg,4.14
Digital Minimalism: Choosing a Focused Life in a Noisy World,Business,Tony Blair,https://www.goodreads.com/book/show/40672036-digital-minimalism,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549433350l/40672036._SY475_.jpg,4.06
Chip War: The Fight for the World's Most Critical Technology,Business,Tony Blair,https://www.goodreads.com/book/show/60321447-chip-war,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1662566820l/60321447.jpg,4.44
Good to Great: Why Some Companies Make the Leap... and Others Don't,Business,Unknown Author,https://www.goodreads.com/book/show/76865.Good_to_Great,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546097703l/76865.jpg,4.13
"Zero to One: Notes on Startups, or How to Build the Future",Business,Unknown Author,https://www.goodreads.com/book/show/18050143-zero-to-one,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630663027l/18050143.jpg,4.15
The Lean Startup (Hardcover) (Em Portugues do Brasil),Business,Unknown Author,https://www.goodreads.com/book/show/10127019-the-lean-startup-hardcover,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629999184l/10127019._SY475_.jpg,4.11
How to Win Friends and Influence People,Business,Unknown Author,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934l/4865._SY475_.jpg,4.22
The 4-Hour Workweek,Business,Unknown Author,https://www.goodreads.com/book/show/368593.The_4_Hour_Workweek,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442957271l/368593._SY475_.jpg,3.92
Start with Why: How Great Leaders Inspire Everyone to Take Action,Business,Unknown Author,https://www.goodreads.com/book/show/7108725-start-with-why,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360936414l/7108725.jpg,4.10
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Business,Unknown Author,https://www.goodreads.com/book/show/18176747-the-hard-thing-about-hard-things,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386609333l/18176747.jpg,4.22
"Rich Dad, Poor Dad",Business,Unknown Author,https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211242l/69571.jpg,4.11
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Business,Unknown Author,https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784l/36072.jpg,4.16
Rework,Business,Unknown Author,https://www.goodreads.com/book/show/6732019-rework,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391275636l/6732019.jpg,3.98
Never Split the Difference: Negotiating as if Your Life Depended on It,Business,Unknown Author,https://www.goodreads.com/book/show/123857637-never-split-the-difference,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680014152l/123857637._SY475_.jpg,4.36
The E-myth Revisited,Business,Unknown Author,https://www.goodreads.com/book/show/81948.The_E_myth_Revisited,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435673032l/81948._SY475_.jpg,4.07
The Tipping Point: How Little Things Can Make a Big Difference,Business,Unknown Author,https://www.goodreads.com/book/show/2612.The_Tipping_Point,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473396980l/2612._SY475_.jpg,4.00
Shoe Dog: A Memoir by the Creator of Nike,Business,Unknown Author,https://www.goodreads.com/book/show/27220736-shoe-dog,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457284880l/27220736.jpg,4.47
Outliers: The Story of Success,Business,Unknown Author,https://www.goodreads.com/book/show/3228917-outliers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266315l/3228917.jpg,4.19
The Night Librarian: A Graphic Novel,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/201102409-the-night-librarian,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698721662l/201102409._SX318_.jpg,3.98
The Lots-of-Time Machine,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/198190202-the-lots-of-time-machine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717181606l/198190202._SX318_.jpg,4.44
"Little Helper, Big Imagination",Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/201335391-little-helper-big-imagination,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718256149l/201335391._SX318_.jpg,4.47
The Old Willis Place: Graphic Novel,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/199532090-the-old-willis-place,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704833023l/199532090._SX318_.jpg,3.97
Invisible Isabel,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/199392448-invisible-isabel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697194087l/199392448._SY475_.jpg,4.45
"Jackson's Wilder Adventures, Vol. 1 (Jackson's Wilder Adventures, #1)",Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/199798213-jackson-s-wilder-adventures-vol-1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697749434l/199798213.jpg,4.42
Gamerville,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/195853568-gamerville,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701197405l/195853568._SY475_.jpg,3.70
It Came from the Trees,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/123829966-it-came-from-the-trees,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698773371l/123829966._SY475_.jpg,4.33
Silver Buckle Linings (BA's Cozy Cowboys),Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/214391210-silver-buckle-linings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719028553l/214391210._SY475_.jpg,4.43
Benji Zeb is a Ravenous Werewolf,Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/59443020-benji-zeb-is-a-ravenous-werewolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702052181l/59443020._SY475_.jpg,4.25
Narwhal's Sweet Tooth (Narwhal and Jelly #9),Children's,Meg Welch Dendler,https://www.goodreads.com/book/show/199409913-narwhal-s-sweet-tooth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697884132l/199409913._SX318_.jpg,4.25
